measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,1,<5 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,0.0,0.0,0.0
1,Deaths,1,Global,2,Female,1,<5 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,0.0,0.0,0.0
1,Deaths,1,Global,1,Male,10,25-29 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,9460.195237842183,11647.839349919954,7576.725044520922
1,Deaths,1,Global,2,Female,10,25-29 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,4366.931507967385,5403.825235850791,3467.3595033798238
1,Deaths,1,Global,1,Male,11,30-34 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,19074.737237467303,23042.31870641093,15266.646289342267
1,Deaths,1,Global,2,Female,11,30-34 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,7448.31386666871,9197.1600799572,5845.422456856637
1,Deaths,1,Global,1,Male,12,35-39 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,28889.783779005425,35469.598928109604,22956.481849176664
1,Deaths,1,Global,2,Female,12,35-39 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,10704.456564416834,13321.504610034754,8400.363118805437
1,Deaths,1,Global,1,Male,13,40-44 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,43371.0866085144,53673.99987538655,34608.89599361355
1,Deaths,1,Global,2,Female,13,40-44 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,17414.52675472249,21179.723991882347,13673.94717506067
1,Deaths,1,Global,1,Male,14,45-49 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,65742.4203142957,80948.5326200047,51529.74328769897
1,Deaths,1,Global,2,Female,14,45-49 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,25964.01222544666,31707.71548473936,20478.047065055176
1,Deaths,1,Global,1,Male,15,50-54 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,91176.95871586907,112776.03548045734,71552.05527311887
1,Deaths,1,Global,2,Female,15,50-54 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,39989.34828018191,49573.10960832417,30323.941362927373
1,Deaths,1,Global,1,Male,16,55-59 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,112918.80919150934,139879.9352998578,88548.95121823151
1,Deaths,1,Global,2,Female,16,55-59 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,51975.37057347665,65005.27632774744,40900.42414940449
1,Deaths,1,Global,1,Male,17,60-64 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,126867.18933341617,157523.2134557905,98894.76939212935
1,Deaths,1,Global,2,Female,17,60-64 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,70204.67287482803,86225.97328408793,54056.82758870483
1,Deaths,1,Global,1,Male,18,65-69 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,135819.37819521036,167075.0420663267,105872.86264539587
1,Deaths,1,Global,2,Female,18,65-69 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,88682.61050589287,108721.75780995382,70169.81189229847
1,Deaths,1,Global,1,Male,19,70-74 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,132011.6881312237,166145.1337716028,99794.40867676435
1,Deaths,1,Global,2,Female,19,70-74 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,98344.76062151692,122469.49531581344,72706.4191680055
1,Deaths,1,Global,1,Male,20,75-79 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,116896.36686637673,145192.1188259069,90864.72859000828
1,Deaths,1,Global,2,Female,20,75-79 years,493,Ischemic heart disease,85,Air pollution,1,Number,2019,103887.57300220132,130477.4447159949,80496.72972356847
