measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,99,Smoking,1,Number,1990,35940987.53934146,37597809.511796065,34339178.41513031
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1990,6971308.016057572,8351451.345382087,5666954.655118218
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,111,Diet low in fruits,1,Number,1990,7717573.359679303,11288846.006031614,3342884.521090067
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,112,Diet low in vegetables,1,Number,1990,6858372.388361428,9645677.193521857,3827103.8261179384
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,113,Diet low in whole grains,1,Number,1990,22501592.403914817,28872257.539760392,8523754.675400592
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,114,Diet low in nuts and seeds,1,Number,1990,9914961.855252625,13302749.24516013,5298850.80381094
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,116,Diet high in red meat,1,Number,1990,5698588.75401913,10253695.002492199,996859.9341589055
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,1990,3792646.130728986,6961719.026495302,676429.2215017896
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,118,Diet high in sugar-sweetened beverages,1,Number,1990,2834436.480652953,3542394.404015014,1936708.1107543854
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,119,Diet low in fiber,1,Number,1990,7040398.567740865,11109212.95546947,3056288.9567163885
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,121,Diet low in seafood omega-3 fatty acids,1,Number,1990,5041777.366791306,6543505.191467868,2240307.232402495
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,122,Diet low in polyunsaturated fatty acids,1,Number,1990,5604459.067763436,11357975.914329536,754732.6925639522
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,123,Diet high in trans fatty acids,1,Number,1990,10747489.870374737,14358478.022488307,1156414.8540780202
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,124,Diet high in sodium,1,Number,1990,11340076.883624837,24105388.514080815,3448623.9389276607
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,333,Diet low in legumes,1,Number,1990,18645613.734192066,29986768.53638769,4851739.334338206
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,99,Smoking,1,Number,2019,43452750.83754185,46783925.228420556,40296865.59566305
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,2019,9566130.39156044,11527142.201142706,7720281.532448067
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,111,Diet low in fruits,1,Number,2019,10233389.331569811,15123422.177452266,4241418.153448017
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,112,Diet low in vegetables,1,Number,2019,8383029.755921478,11970192.57648127,4666246.969370731
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,113,Diet low in whole grains,1,Number,2019,32206518.532476712,41835001.89960033,12173283.67607493
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,114,Diet low in nuts and seeds,1,Number,2019,12278975.199084654,16919105.12822977,6364300.919105551
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,116,Diet high in red meat,1,Number,2019,7742346.290197506,14077673.403078575,1340006.4830406057
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,117,Diet high in processed meat,1,Number,2019,4141887.3332622927,8024125.283767576,998642.5523070461
